field_index,source_node_id,jax_potential_V,elmer_potential_V,elmer_minus_jax_V
140,1314,8.45624686413780635e-02,8.45624686786509427e-02,3.72728792275012211e-11
141,1315,8.27926514650193790e-02,8.27926515086095383e-02,4.35901592599208243e-11
142,1316,8.10169775219801019e-02,8.10169775708076412e-02,4.88275392340753456e-11
143,1317,7.92516380660750336e-02,7.92516381232141326e-02,5.71390990078413097e-11
144,1318,7.74764610865000397e-02,7.74764611437626233e-02,5.72625835637552427e-11
145,1319,7.57015074350109868e-02,7.57015074918201275e-02,5.68091407249227132e-11
146,1320,7.39294560344520152e-02,7.39294560720126642e-02,3.75606490354840616e-11
147,1321,7.21629910177825490e-02,7.21629910423407517e-02,2.45582026936475017e-11
148,1322,7.03911510276441499e-02,7.03911510638754179e-02,3.62312679857978992e-11
149,1323,6.86251922231570916e-02,6.86251922623589972e-02,3.92019056105752384e-11
150,1324,6.68454855400874154e-02,6.68454855769376188e-02,3.68502034442386162e-11
151,1325,6.50794008556099535e-02,6.50794008888136849e-02,3.32037314310085208e-11
152,1326,6.33048904248951494e-02,6.33048904527539341e-02,2.78587847235556296e-11
153,1327,6.15349713955051641e-02,6.15349714138690301e-02,1.83638659834173268e-11
154,1328,5.97674225172445117e-02,5.97674225070266366e-02,-1.02178751570924931e-11
155,1329,5.79910687596141491e-02,5.79910687391841442e-02,-2.04300049100325509e-11
156,1330,5.62183794883183707e-02,5.62183794736262621e-02,-1.46921086408013934e-11
157,1331,5.44460391386889023e-02,5.44460391245469508e-02,-1.41419514987362049e-11
158,1332,5.26797705535205149e-02,5.26797705424473656e-02,-1.10731493419002902e-11
159,1333,5.09088951461837066e-02,5.09088951437487933e-02,-2.43491338203227770e-12
160,1334,4.91374377829678702e-02,4.91374377999327927e-02,1.69649225223444944e-11
161,1335,4.73625719979903492e-02,4.73625720388319918e-02,4.08416425679014594e-11
162,1336,4.55908842449943910e-02,4.55908843128310995e-02,6.78367084727682368e-11
163,1337,4.38196819070097929e-02,4.38196819839036938e-02,7.68939009687663599e-11
164,1338,4.20537812353239740e-02,4.20537812911838532e-02,5.58598792221864926e-11
165,1339,4.02846150997730051e-02,4.02846151222956833e-02,2.25226781669363163e-11
166,1340,3.85060655196274443e-02,3.85060654973065006e-02,-2.23209437044680215e-11
167,1341,3.67419438796874886e-02,3.67419438301769471e-02,-4.95105414999308380e-11
168,1342,3.49621191776962811e-02,3.49621191309156393e-02,-4.67806418602556562e-11
169,1343,3.31965200893606510e-02,3.31965200423959758e-02,-4.69646752043750837e-11
170,1344,3.14234056236199488e-02,3.14234055695051182e-02,-5.41148306720806715e-11
171,1345,2.96569802277406799e-02,2.96569801863161044e-02,-4.14245755753217537e-11
172,1346,2.78849771474259343e-02,2.78849771334443094e-02,-1.39816248856394765e-11
173,1347,2.61144589764439224e-02,2.61144589703822781e-02,-6.06164424210575703e-12
174,1348,2.43440657174523768e-02,2.43440657140972377e-02,-3.35513908322759846e-12
175,1349,2.25723961154324464e-02,2.25723961293714699e-02,1.39390235465164380e-11
176,1350,2.08012877759329896e-02,2.08012878015769037e-02,2.56439140755571060e-11
177,1351,1.90345311342334754e-02,1.90345311541744479e-02,1.99409724843668812e-11
178,1352,1.72662909699080463e-02,1.72662909647840167e-02,-5.12402967278724475e-12
179,1353,1.54948577636306022e-02,1.54948577331498489e-02,-3.04807533380024864e-11
180,1354,1.37354868010772790e-02,1.37354867852379995e-02,-1.58392795407413800e-11
181,1355,1.19911974713945227e-02,1.19911974928087247e-02,2.14142020088514684e-11
182,1356,1.02242069131199941e-02,1.02242069600317030e-02,4.69117088924830838e-11
183,1357,8.49218184423301652e-03,8.49218189099413233e-03,4.67611158128100612e-11
184,1358,6.76663157633738965e-03,6.76663159717552035e-03,2.08381307001404004e-11
185,1359,5.06873465247585295e-03,5.06873464165221582e-03,-1.08236371254566421e-11
186,1360,3.42824159492384354e-03,3.42824156942697893e-03,-2.54968646022646350e-11
187,1361,1.87064692686034510e-03,1.87064690488272420e-03,-2.19776208950500651e-11
188,1362,5.35179330103611106e-04,5.35179319691792346e-04,-1.04118187595897416e-11
189,1363,1.73131751666054129e-01,1.73131751675017515e-01,8.96338558931120133e-12
