node_id,x_um,y_um,z_um,jax_temperature_K,elmer_temperature_K,elmer_minus_jax_K
88,-1.00000000000000000e+01,7.49999999999999911e+00,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
89,-1.00000000000000000e+01,8.75000000000000000e+00,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
90,1.00000000000000000e+01,-8.75000000000000000e+00,-2.00000000000000000e+00,3.00003747537014362e+02,3.00003747537014192e+02,-1.70530256582424045e-13
91,1.00000000000000000e+01,-7.49999999999999911e+00,-2.00000000000000000e+00,3.00004558769102800e+02,3.00004558769102857e+02,5.68434188608080149e-14
92,1.00000000000000000e+01,-6.24999999999999911e+00,-2.00000000000000000e+00,3.00005327132578202e+02,3.00005327132578600e+02,3.97903932025656104e-13
93,1.00000000000000000e+01,-5.00000000000000000e+00,-2.00000000000000000e+00,3.00006199466480439e+02,3.00006199466480439e+02,0.00000000000000000e+00
94,1.00000000000000000e+01,-3.74999999999999956e+00,-2.00000000000000000e+00,3.00006651715556870e+02,3.00006651715556927e+02,5.68434188608080149e-14
95,1.00000000000000000e+01,-2.50000000000000000e+00,-2.00000000000000000e+00,3.00007198302239146e+02,3.00007198302239090e+02,-5.68434188608080149e-14
96,1.00000000000000000e+01,-1.25000000000000000e+00,-2.00000000000000000e+00,3.00007402252715735e+02,3.00007402252715053e+02,-6.82121026329696178e-13
97,1.00000000000000000e+01,0.00000000000000000e+00,-2.00000000000000000e+00,3.00007849299388226e+02,3.00007849299388170e+02,-5.68434188608080149e-14
98,1.00000000000000000e+01,1.25000000000000000e+00,-2.00000000000000000e+00,3.00007644668217495e+02,3.00007644668217608e+02,1.13686837721616030e-13
99,1.00000000000000000e+01,2.50000000000000000e+00,-2.00000000000000000e+00,3.00007548157533392e+02,3.00007548157533563e+02,1.70530256582424045e-13
100,1.00000000000000000e+01,3.74999999999999956e+00,-2.00000000000000000e+00,3.00006864870973914e+02,3.00006864870974198e+02,2.84217094304040074e-13
101,1.00000000000000000e+01,5.00000000000000000e+00,-2.00000000000000000e+00,3.00006471600212365e+02,3.00006471600212535e+02,1.70530256582424045e-13
102,1.00000000000000000e+01,6.24999999999999911e+00,-2.00000000000000000e+00,3.00005803900873900e+02,3.00005803900874298e+02,3.97903932025656104e-13
103,1.00000000000000000e+01,7.49999999999999911e+00,-2.00000000000000000e+00,3.00004729334254250e+02,3.00004729334254591e+02,3.41060513164848089e-13
104,1.00000000000000000e+01,8.75000000000000000e+00,-2.00000000000000000e+00,3.00004138505566914e+02,3.00004138505567198e+02,2.84217094304040074e-13
105,1.00000000000000000e+01,-8.75000000000000000e+00,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
106,1.00000000000000000e+01,-7.49999999999999911e+00,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
107,1.00000000000000000e+01,-6.24999999999999911e+00,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
108,1.00000000000000000e+01,-5.00000000000000000e+00,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
109,1.00000000000000000e+01,-3.74999999999999956e+00,-2.50000000000000000e+00,3.00000000000000000e+02,2.99999999999999943e+02,-5.68434188608080149e-14
110,1.00000000000000000e+01,-2.50000000000000000e+00,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
111,1.00000000000000000e+01,-1.25000000000000000e+00,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
112,1.00000000000000000e+01,0.00000000000000000e+00,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
113,1.00000000000000000e+01,1.25000000000000000e+00,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
114,1.00000000000000000e+01,2.50000000000000000e+00,-2.50000000000000000e+00,3.00000000000000000e+02,2.99999999999999943e+02,-5.68434188608080149e-14
115,1.00000000000000000e+01,3.74999999999999956e+00,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
116,1.00000000000000000e+01,5.00000000000000000e+00,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
