node_id,x_um,y_um,z_um,jax_temperature_K,elmer_temperature_K,elmer_minus_jax_K
85,-1.00000000000000000e+01,3.74999999999999956e+00,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
86,-1.00000000000000000e+01,5.00000000000000000e+00,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
87,-1.00000000000000000e+01,6.24999999999999911e+00,-2.50000000000000000e+00,3.00000000000000000e+02,2.99999999999999943e+02,-5.68434188608080149e-14
88,-1.00000000000000000e+01,7.49999999999999911e+00,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000114e+02,1.13686837721616030e-13
89,-1.00000000000000000e+01,8.75000000000000000e+00,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
90,1.00000000000000000e+01,-8.75000000000000000e+00,-2.00000000000000000e+00,3.00033727833128751e+02,3.00033727833128069e+02,-6.82121026329696178e-13
91,1.00000000000000000e+01,-7.49999999999999911e+00,-2.00000000000000000e+00,3.00041028921925374e+02,3.00041028921925204e+02,-1.70530256582424045e-13
92,1.00000000000000000e+01,-6.24999999999999911e+00,-2.00000000000000000e+00,3.00047944193203989e+02,3.00047944193203762e+02,-2.27373675443232059e-13
93,1.00000000000000000e+01,-5.00000000000000000e+00,-2.00000000000000000e+00,3.00055795198323210e+02,3.00055795198323608e+02,3.97903932025656104e-13
94,1.00000000000000000e+01,-3.74999999999999956e+00,-2.00000000000000000e+00,3.00059865440012004e+02,3.00059865440012004e+02,0.00000000000000000e+00
95,1.00000000000000000e+01,-2.50000000000000000e+00,-2.00000000000000000e+00,3.00064784720152488e+02,3.00064784720152716e+02,2.27373675443232059e-13
96,1.00000000000000000e+01,-1.25000000000000000e+00,-2.00000000000000000e+00,3.00066620274441163e+02,3.00066620274442243e+02,1.08002495835535228e-12
97,1.00000000000000000e+01,0.00000000000000000e+00,-2.00000000000000000e+00,3.00070643694492333e+02,3.00070643694493242e+02,9.09494701772928238e-13
98,1.00000000000000000e+01,1.25000000000000000e+00,-2.00000000000000000e+00,3.00068802013957566e+02,3.00068802013957907e+02,3.41060513164848089e-13
99,1.00000000000000000e+01,2.50000000000000000e+00,-2.00000000000000000e+00,3.00067933417800703e+02,3.00067933417802465e+02,1.76214598468504846e-12
100,1.00000000000000000e+01,3.74999999999999956e+00,-2.00000000000000000e+00,3.00061783838766075e+02,3.00061783838767951e+02,1.87583282240666449e-12
101,1.00000000000000000e+01,5.00000000000000000e+00,-2.00000000000000000e+00,3.00058244401910713e+02,3.00058244401914976e+02,4.26325641456060112e-12
102,1.00000000000000000e+01,6.24999999999999911e+00,-2.00000000000000000e+00,3.00052235107864647e+02,3.00052235107867887e+02,3.24007487506605685e-12
103,1.00000000000000000e+01,7.49999999999999911e+00,-2.00000000000000000e+00,3.00042564008287684e+02,3.00042564008290697e+02,3.01270119962282479e-12
104,1.00000000000000000e+01,8.75000000000000000e+00,-2.00000000000000000e+00,3.00037246550101770e+02,3.00037246550104214e+02,2.44426701101474464e-12
105,1.00000000000000000e+01,-8.75000000000000000e+00,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
