cell_id,node_0,node_1,node_2,node_3,region_id,region_name
292,6713,3637,6587,3639,0,silica
293,6848,6849,6850,258,0,silica
294,6851,6852,6853,6854,0,silica
295,6855,6856,6857,6817,0,silica
296,6736,4098,6737,4171,0,silica
297,6597,6783,254,2463,0,silica
298,6673,6858,6859,6860,0,silica
299,6861,1489,6862,1490,0,silica
300,6863,1631,4464,1539,0,silica
301,6864,45,32,1658,0,silica
302,476,477,1163,2588,0,silica
303,6628,6865,6629,474,0,silica
304,6537,6866,6867,4864,0,silica
305,6535,6868,6538,6869,0,silica
306,6565,4807,4872,4809,0,silica
307,6608,6609,6870,6556,0,silica
308,5639,4512,6238,1693,0,silica
309,6871,6872,6873,6874,0,silica
310,6875,600,1098,1099,0,silica
311,6876,5034,5152,5325,0,silica
312,6523,6877,6878,4950,0,silica
313,6879,1165,3340,1164,0,silica
314,6876,5325,5152,4944,0,silica
315,6778,1020,6880,3335,0,silica
316,6881,6882,6883,6884,0,silica
317,2496,3212,478,1164,0,silica
318,6885,6886,6887,240,0,silica
319,6888,6889,4989,4998,0,silica
320,6890,6891,6892,6893,0,silica
321,6894,5308,5155,5156,0,silica
322,6589,6588,6599,6462,0,silica
323,3239,1102,1101,603,0,silica
324,6895,6896,6897,6898,0,silica
325,6899,6900,6901,378,0,silica
326,6902,6903,6904,6905,0,silica
327,1097,598,6875,6839,0,silica
328,6906,6907,6908,1678,0,silica
329,6879,6909,6645,6474,0,silica
330,6910,3625,4023,4268,0,silica
331,6868,6911,6912,6913,0,silica
332,6914,6915,6916,6917,0,silica
333,6460,6475,3631,4016,0,silica
334,6918,4829,4828,4811,0,silica
335,6919,6907,6894,5156,0,silica
336,6907,5344,5156,4752,0,silica
337,6920,6921,6922,6923,0,silica
338,6864,5175,5352,4946,0,silica
339,6919,6907,5156,4752,0,silica
340,6924,6925,6893,6864,0,silica
341,6926,6927,6928,6929,0,silica
342,6523,6398,47,39,0,silica
343,6930,6531,6931,6932,0,silica
344,6933,6934,6935,6936,0,silica
345,6937,3340,3394,1023,0,silica
346,6938,6939,4896,5057,0,silica
347,6940,6941,6621,6942,0,silica
348,6943,6944,6945,6946,0,silica
349,6540,6947,6948,6837,0,silica
350,6456,6458,6457,6422,0,silica
351,1657,5601,1656,4471,0,silica
352,1657,6214,5601,4477,0,silica
353,1657,5601,4475,4477,0,silica
354,1657,4475,5601,4471,0,silica
355,6854,6522,6471,3540,0,silica
356,6949,6950,5141,5012,0,silica
357,6942,6951,2704,223,0,silica
358,1656,5601,6172,4471,0,silica
359,5647,4474,4473,5195,0,silica
360,6952,3398,6628,6880,0,silica
361,6893,6953,6876,6954,0,silica
362,6583,6955,6910,6585,0,silica
363,6856,6956,6855,6557,0,silica
364,6957,6958,6959,6555,0,silica
365,6960,6638,6639,3663,0,silica
366,5195,6014,5647,6171,0,silica
367,6961,6478,6460,6472,0,silica
368,6791,356,2381,250,0,silica
369,5952,5048,5949,5951,0,silica
370,6962,6546,6963,6964,0,silica
371,6940,6941,6942,6965,0,silica
372,6942,6966,6940,6965,0,silica
373,6014,6135,5045,5951,0,silica
374,6967,6968,6969,6970,0,silica
375,6014,6377,5952,5048,0,silica
376,5952,6343,6060,5048,0,silica
377,6172,6343,6377,5185,0,silica
378,6906,1464,1465,1679,0,silica
379,5947,5949,5046,5951,0,silica
380,6172,4726,5185,4471,0,silica
381,6214,4475,4477,1652,0,silica
382,5949,5048,5046,5951,0,silica
383,5188,6375,6046,5269,0,silica
384,6060,5269,6375,5050,0,silica
385,5949,5950,5948,5050,0,silica
