field_index,source_node_id,jax_potential_V,elmer_potential_V,elmer_minus_jax_V
234,1408,2.80254814460957846e-01,2.80254814526957219e-01,6.59993726337404496e-11
235,1409,2.74938512835134097e-01,2.74938512914262079e-01,7.91279819445378507e-11
236,1410,2.69612847235857267e-01,2.69612847325365390e-01,8.95081231355732143e-11
237,1411,2.64303527890060230e-01,2.64303527998472287e-01,1.08412057109319449e-10
238,1412,2.58993836366333829e-01,2.58993836461214988e-01,9.48811584855491219e-11
239,1413,2.53689974322357403e-01,2.53689974433088106e-01,1.10730702385097857e-10
240,1414,2.48376352495871144e-01,2.48376352627111524e-01,1.31240379674935070e-10
241,1415,2.43075084276650727e-01,2.43075084422588045e-01,1.45937317785893583e-10
242,1416,2.37731392288728111e-01,2.37731392459358537e-01,1.70630426454820849e-10
243,1417,2.32428795146693873e-01,2.32428795315939907e-01,1.69246033854264510e-10
244,1418,2.27124759576705720e-01,2.27124759745977955e-01,1.69272235117645664e-10
245,1419,2.21805433110866451e-01,2.21805433222769716e-01,1.11903264432555716e-10
246,1420,2.16483919754589860e-01,2.16483919824570631e-01,6.99807711779243391e-11
247,1421,2.11176312788892262e-01,2.11176312897734142e-01,1.08841879953303078e-10
248,1422,2.05854445032367050e-01,2.05854445150323001e-01,1.17955950562631529e-10
249,1423,2.00538182331589182e-01,2.00538182441337032e-01,1.09747849696972821e-10
250,1424,1.95238571160906760e-01,1.95238571259380184e-01,9.84734238596018940e-11
251,1425,1.89915338475006246e-01,1.89915338557223617e-01,8.22173717995866582e-11
252,1426,1.84603727495063569e-01,1.84603727547229896e-01,5.21663268138183867e-11
253,1427,1.79301138259866044e-01,1.79301138230434226e-01,-2.94318180937835905e-11
254,1428,1.73968719160358276e-01,1.73968719100899449e-01,-5.94588267510687274e-11
255,1429,1.68673558564517045e-01,1.68673558521574951e-01,-4.29420943248715048e-11
256,1430,1.63358731146742542e-01,1.63358731105676475e-01,-4.10660672134355309e-11
257,1431,1.58038140557640594e-01,1.58038140524413923e-01,-3.32266714142548381e-11
258,1432,1.52730571700532475e-01,1.52730571692561240e-01,-7.97123478335493019e-12
259,1433,1.47413712951283304e-01,1.47413713001809166e-01,5.05258612726322553e-11
260,1434,1.42087780099178385e-01,1.42087780220145649e-01,1.20967263983473572e-10
261,1435,1.36772150393306396e-01,1.36772150596189884e-01,2.02883487787630656e-10
262,1436,1.31460902150333181e-01,1.31460902381304007e-01,2.30970825798593182e-10
