node_id,y_um,z_um,jax_temperature_K,elmer_temperature_K,elmer_minus_jax_K
941,5.84999999999999876e+00,9.33205804857537569e-01,3.89084891477987242e+02,3.89084891478251109e+02,2.63867150351870805e-10
942,5.84999999999999876e+00,1.23078565731116107e+00,4.01378713702987795e+02,4.01378713703261212e+02,2.73416844720486552e-10
943,5.84999999999999876e+00,1.50745476682354407e+00,4.13963495548375647e+02,4.13963495548661285e+02,2.85638179775560275e-10
944,5.84999999999999876e+00,1.70828700473330297e+00,4.24146511294636355e+02,4.24146511294932679e+02,2.96324742521392182e-10
945,5.84999999999999876e+00,1.85407924376148703e+00,4.32377959755123584e+02,4.32377959755429060e+02,3.05476532957982272e-10
946,5.84999999999999876e+00,1.95991576127837774e+00,4.38982669754667370e+02,4.38982669754980293e+02,3.12923020828748122e-10
947,5.84999999999999876e+00,2.03674678436114887e+00,4.44241833572860514e+02,4.44241833573179292e+02,3.18777892971411347e-10
948,5.84999999999999876e+00,2.09812542210288822e+00,4.48833260536952025e+02,4.48833260537276487e+02,3.24462234857492149e-10
949,5.84999999999999876e+00,2.15906271105148795e+00,4.53742577146291069e+02,4.53742577146621784e+02,3.30715010932181031e-10
950,5.84999999999999876e+00,2.26666666666666705e+00,4.59086104175029163e+02,4.59086104175366586e+02,3.37422534357756376e-10
951,5.84999999999999876e+00,2.31333333333315982e+00,4.59153532924317290e+02,4.59153532924654826e+02,3.37536221195477992e-10
952,5.84999999999999876e+00,2.41536059317736518e+00,4.57484479745167675e+02,4.57484479745503506e+02,3.35830918629653752e-10
953,5.84999999999999876e+00,2.47072118635578875e+00,4.56021486822216048e+02,4.56021486822549832e+02,3.33784555550664663e-10
954,5.84999999999999876e+00,2.52618008802006688e+00,4.54791044745635986e+02,4.54791044745968122e+02,3.32136096403701231e-10
955,5.84999999999999876e+00,2.59252432436104696e+00,4.53724692810774968e+02,4.53724692811105797e+02,3.30828697769902647e-10
956,5.84999999999999876e+00,2.68127516175129710e+00,4.52832877371739642e+02,4.52832877372069390e+02,3.29748672811547294e-10
957,6.00000000000000000e+00,-1.44476539932623704e+00,3.15701862308810405e+02,3.15701862308870659e+02,6.02540239924564958e-11
958,6.00000000000000000e+00,-1.03065575207776106e+00,3.27527490410361906e+02,3.27527490410468545e+02,1.06638253782875836e-10
959,6.00000000000000000e+00,-7.27637708582846487e-01,3.36380213282731177e+02,3.36380213282873513e+02,1.42335920827463269e-10
960,6.00000000000000000e+00,-5.05805696639437197e-01,3.43048794081512483e+02,3.43048794081682729e+02,1.70246039488120005e-10
961,6.00000000000000000e+00,-3.43483071998003098e-01,3.48023578513227790e+02,3.48023578513419920e+02,1.92130755749531090e-10
962,6.00000000000000000e+00,-2.24687766350514212e-01,3.51713231050679212e+02,3.51713231050888112e+02,2.08899564313469455e-10
963,6.00000000000000000e+00,-1.37747786983805687e-01,3.54417053765697972e+02,3.54417053765919661e+02,2.21689333557151258e-10
964,6.00000000000000000e+00,-6.85333804337044938e-02,3.56498807757632051e+02,3.56498807757863233e+02,2.31182184506906196e-10
965,6.00000000000000000e+00,7.33333333331483983e-02,3.60138081654532186e+02,3.60138081654777693e+02,2.45506726059829816e-10
966,6.00000000000000000e+00,1.46666666666476403e-01,3.61721221832325284e+02,3.61721221832574429e+02,2.49144704866921529e-10
967,6.00000000000000000e+00,2.90312256478860109e-01,3.65363048959786340e+02,3.65363048960037304e+02,2.50963694270467386e-10
968,6.00000000000000000e+00,3.60625403891530971e-01,3.67509723034041713e+02,3.67509723034292449e+02,2.50736320595024154e-10
969,6.00000000000000000e+00,4.43738971041236496e-01,3.70216493658475031e+02,3.70216493658725597e+02,2.50565790338441730e-10
970,6.00000000000000000e+00,5.58229848891344194e-01,3.74104806260973930e+02,3.74104806261225178e+02,2.51247911364771426e-10
971,6.00000000000000000e+00,7.15943665219980319e-01,3.79647360127352840e+02,3.79647360127606362e+02,2.53521648119203746e-10
972,6.00000000000000000e+00,9.33205804857537569e-01,3.87737046230196370e+02,3.87737046230454609e+02,2.58239651884650812e-10
973,6.00000000000000000e+00,1.23078565731116107e+00,3.99336603577170138e+02,3.99336603577438098e+02,2.67959876509848982e-10
974,6.00000000000000000e+00,1.50745476682354407e+00,4.11095870800065256e+02,4.11095870800344926e+02,2.79669620795175433e-10
975,6.00000000000000000e+00,1.70828700473330297e+00,4.20597237841107869e+02,4.20597237841397771e+02,2.89901436190120876e-10
976,6.00000000000000000e+00,1.85407924376148703e+00,4.28177624641274974e+02,4.28177624641573288e+02,2.98314262181520462e-10
977,6.00000000000000000e+00,1.95991576127837774e+00,4.34213091949337240e+02,4.34213091949642546e+02,3.05306002701399848e-10
978,6.00000000000000000e+00,2.03674678436114887e+00,4.39153923939737695e+02,4.39153923940049083e+02,3.11388248519506305e-10
979,6.00000000000000000e+00,2.09812542210288822e+00,4.43567032064491457e+02,4.43567032064808018e+02,3.16560999635839835e-10
980,6.00000000000000000e+00,2.15906271105148795e+00,4.48805578077987093e+02,4.48805578078310702e+02,3.23609583574580029e-10
981,6.00000000000000000e+00,2.26666666666666705e+00,4.57482736845936927e+02,4.57482736846272360e+02,3.35433014697628096e-10
982,6.00000000000000000e+00,2.31333333333315982e+00,4.57604009854048911e+02,4.57604009854384174e+02,3.35262484441045672e-10
983,6.00000000000000000e+00,2.41536059317736518e+00,4.52969587245860225e+02,4.52969587246189462e+02,3.29237082041800022e-10
